dateofocc,victim_l_D,victim_l,lon,lat
2015-05-15,Tanker,9,111.21666669970176,2.583333299812807
2015-05-16,Cargo Ship,3,91.69999999962364,21.766666699821712
2015-05-17,Cargo Ship,3,91.71666670042016,22.199999999624367
2015-05-22,Anchored Ship,1,-4.016666699681196,5.333333299676895
2015-05-26,Tanker,9,3.3333332996122067,6.433333300341985
2015-05-04,Cargo Ship,3,103.7666666997756,1.0833333002139511
2015-05-16,Passenger Ship,7,121.16666670015844,4.166666699971984
2015-05-20,Tanker,9,121.03333329973134,13.733333299768674
2015-05-20,Tanker,9,101.46666669961128,1.7000000003103537
2015-05-22,Cargo Ship,3,107.0500000000751,10.183333300238417
2015-05-23,Cargo Ship,3,103.65000000014498,1.0333333003472376
2015-05-27,Tanker,9,70.21666670017447,23.016666700086944
2016-04-18,Vessel,11,98.74999999971676,3.9333332998114656
2016-04-01,Tanker,9,5.683333299643266,3.899999999841896
2016-04-01,Tugboat,10,118.9166666998608,4.11666670010527
2016-04-07,Tanker,9,5.400000000340071,3.316666700439157
2016-04-11,Tanker,9,6.68333329967561,2.8000000000761247
2016-04-10,Tanker,9,5.516666699970699,3.299999999642637
2016-04-11,Vessel,11,5.400000000340071,4.11666670010527
2016-04-12,Cargo Ship,3,110.36666670016888,-6.9000000001476
2016-04-12,Cargo Ship,3,-77.06666670011003,3.883333299944752
2016-04-19,Tanker,9,5.366666700370558,3.883333299944752
2016-04-19,Vessel,11,4.833333300110382,3.050000000309069
2016-04-19,Vessel,11,4.750000000274099,3.6166666996394383
2016-04-18,Tanker,9,5.633333299776552,3.899999999841896
2016-04-15,Tugboat,10,119.40000000042949,4.666666700437816
2014-02-05,Cargo Ship,3,91.75000000038966,22.2500000003904
2014-02-19,Tanker,9,5.299999999707325,3.949999999708666
2014-02-13,Vessel,11,44.566666700199335,1.1166667000082384
2014-02-14,Cargo Ship,3,106.9166667003721,-5.983333299951539
2014-02-06,Cargo Ship,3,103.60000000027829,1.0500000002443812
2014-02-06,Cargo Ship,3,103.55000000041156,1.0833333002139511
2014-02-13,Merchant Vessel,5,44.116666699600216,1.1166667000082384
2014-02-20,Cargo Ship,3,11.816666700264363,-4.900000000082912
2014-02-09,Sailing Vessel,8,-64.56666670015545,18.433333299830736
2014-02-10,Sailing Vessel,8,-63.116666700423366,18.08333329986442
2015-06-03,Cargo Ship,3,106.54999999960928,-2.016666699616508
2014-02-24,Tanker,9,91.71666670042016,22.2500000003904
2014-02-20,Tugboat,10,91.61666669978734,21.000000000125112
2014-03-04,Cargo Ship,3,5.266666699737755,3.99999999957538
2014-10-15,Cargo Ship,3,91.78333330035925,21.766666699821712
2014-10-14,Cargo Ship,3,104.61666670020776,1.46666669997461
2014-10-14,Tanker,9,106.7666666998726,-5.933333300084826
2014-10-14,Fishing Vessel,4,117.64999999969848,7.266666699802442
2014-10-14,Tanker,9,111.49999999990422,-6.250000000081627
2014-10-27,Cargo Ship,3,103.60000000027829,1.0666667001415249
2014-10-26,Cargo Ship,3,104.58333330041349,1.4000000002107529
2014-10-24,Cargo Ship,3,91.71666670042016,22.2500000003904
2014-10-24,Cargo Ship,3,-64.58333330022788,10.266666699899474
2014-11-06,Anchored Ship,1,1.2499999997112354,6.0333332996095805
2014-11-04,Cargo Ship,3,5.4666667001039855,4.050000000341413
2014-11-04,Tanker,9,6.750000000338787,3.0000000004423555
2014-11-04,Tugboat,10,103.5666667003087,1.2166666997416655
2015-06-01,Cargo Ship,3,91.71666670042016,22.266666700287544
2015-06-02,Vessel,11,1.2833332996808051,6.133333300242384
2015-06-04,Tanker,9,104.36666669997489,2.350000000376383
2015-06-08,Cargo Ship,3,-79.51666669987452,9.816666700199676
2015-06-05,Tanker,9,-77.08333330018246,3.849999999975182
2015-06-08,Cargo Ship,3,11.749999999601188,-4.733333299686308
2015-06-04,Cargo Ship,3,107.03333330017796,10.08333329960567
2015-06-17,Cargo Ship,3,103.7000000000117,1.0833333002139511
2015-06-17,Tanker,9,103.7666666997756,1.133333300080665
2015-06-17,Tanker,9,103.60000000027829,1.0500000002443812
2015-06-13,Tugboat,10,105.0000000001437,1.5833332997804632
2016-04-19,Offshore Vessel,6,4.833333300110382,3.500000000008868
2016-04-24,Tanker,9,49.13333329983431,14.433333299701417
2016-04-28,Tanker,9,4.433333300277297,4.316666699572124
2016-04-20,Offshore Vessel,6,6.133333300242384,3.649999999609008
2016-04-21,Tanker,9,-77.21666669971023,-12.01666669993989
2016-04-21,Cargo Ship,3,120.56666669995911,10.633333299938217
2016-04-28,Tanker,9,4.716666700304529,3.9333332998114656
2016-04-25,Cargo Ship,3,11.83333330033679,-4.749999999583451
2016-04-30,Tanker,9,83.4166667000618,17.58333330029791
2016-04-20,Offshore Vessel,6,6.83333330017507,3.649999999609008
2016-05-04,Tanker,9,5.299999999707325,3.899999999841896
2016-05-05,Tanker,9,5.5333333000430684,3.899999999841896
2016-05-03,Vessel,11,13.433333299669073,-5.850000000248542
2016-05-05,Tanker,9,5.416666700237272,3.849999999975182
2016-05-07,Tanker,9,5.166666700004328,3.7000000003750415
2016-05-07,Tanker,9,108.6500000003067,-2.066666700382541
2014-03-04,Offshore Vessel,6,7.883333300074128,4.283333299777837
2014-03-06,Merchant Vessel,5,60.48666670021055,22.45166669988436
2014-02-28,Cargo Ship,3,62.73333329955466,24.54999999965537
2014-03-03,Tanker,9,43.33333330000647,12.58333330013619
2014-03-06,Tanker,9,103.43333329988168,1.1833332999473782
